collision_index,collision_year,collision_ref_no,police_force,collision_severity,first_road_class,first_road_number,time,speed_limit,junction_detail,collision_ref_join,road_name,road_type,severity_text,severe,collision_hour,time_period,speed_group,junction_group,lgv_involved,young_driver_involved
2022061150830,2022,061150830,6,3,3,5145,23:00:00,30,16,061150830,A5145,A road,slight,0,23,night_or_off_peak,30 mph or below,Crossroads or larger junction,0,0
2022061217423,2022,061217423,6,3,3,6010,18:34:00,30,16,061217423,A6010,A road,slight,0,18,evening_peak,30 mph or below,Crossroads or larger junction,1,0
201706E036217,2017,06E036217,6,3,3,34,13:13:00,30,0,06E036217,A34,A road,slight,0,13,daytime,30 mph or below,No junction,0,1
201706P029225,2017,06P029225,6,3,3,58,15:17:00,40,13,06P029225,A58,A road,slight,0,15,daytime,40 mph or above,T or staggered junction,0,0
2024061499984,2024,061499984,6,3,3,6,20:15:00,40,19,061499984,A6,A road,slight,0,20,night_or_off_peak,40 mph or above,Other or unknown junction,0,0
2023061321806,2023,061321806,6,3,1,60,11:05:00,70,0,061321806,M60,Motorway,slight,0,11,daytime,40 mph or above,No junction,1,0
201706N032619,2017,06N032619,6,3,3,676,15:10:00,30,13,06N032619,A676,A road,slight,0,15,daytime,30 mph or below,T or staggered junction,0,1
201706J026179,2017,06J026179,6,3,3,6,15:40:00,30,0,06J026179,A6,A road,slight,0,15,daytime,30 mph or below,No junction,0,0
201906A159708,2019,06A159708,6,3,3,34,02:05:00,30,16,06A159708,A34,A road,slight,0,2,night_or_off_peak,30 mph or below,Crossroads or larger junction,0,0
202006XF76731,2020,06XF76731,6,3,1,62,08:20:00,70,0,06XF76731,M62,Motorway,slight,0,8,morning_peak,40 mph or above,No junction,1,1
201806L251529,2018,06L251529,6,3,3,577,19:45:00,20,16,06L251529,A577,A road,slight,0,19,night_or_off_peak,30 mph or below,Crossroads or larger junction,0,1
2021061136036,2021,061136036,6,3,3,58,16:00:00,30,0,061136036,A58,A road,slight,0,16,evening_peak,30 mph or below,No junction,0,0
2022061157019,2022,061157019,6,3,1,602,06:42:00,30,0,061157019,M602,Motorway,slight,0,6,night_or_off_peak,30 mph or below,No junction,0,1
2022061191717,2022,061191717,6,2,3,664,14:31:00,30,0,061191717,A664,A road,serious,1,14,daytime,30 mph or below,No junction,1,0
